LWLRANK,PLAYER,TEAM,ADP,ADPM,AUC,OWN,EADP,EAUC,EOWN,INJ,DAY1AGE,ONG,AAV,EVSVPCT,PKSVPCT,PPSVPCT,CGP,CW,CGAA,CSVPCT,CSHO,3YGS,3YW,3YSV,3YGAA,3YSVPCT,3YEVSVPCT,3YPKSVPCT,3YSHO,3YTOI,P_GS,P_W,P_L,P_OTL,P_SA,P_SV,P_GA,P_GAA,P_SVPCT,P_SHO,TFSI
1,Frederik Andersen,TOR,36.8,+,25.7,100,127.6,2.7,88,,30.0,27,5000000,0.927,0.849,0.887,317,184,2.59,0.918,16,192,107,5708,2.70,0.918,0.923,0.880,10,11384.73,66,35,22,9,2197,2015,182,2.75,0.917,4,178.8
2,Sergei Bobrovsky,FLA,19.4,,39.4,100,48.2,13.4,99,,31.0,25,10000000,0.915,0.890,0.909,457,255,2.46,0.919,33,189,115,5165,2.31,0.922,0.929,0.869,21,11361.55,64,35,20,9,2058,1891,167,2.61,0.919,4,177.8
3,Andrei Vasilevskiy,TBL,9.2,,52.4,100,26.2,18.0,99,,25.2,25,3500000,0.926,0.910,0.981,208,124,2.55,0.919,18,164,106,4850,2.50,0.921,0.926,0.888,16,10024.54,62,33,21,8,1986,1823,163,2.62,0.918,4,166.8
4,John Gibson,ANA,53.0,,14.9,100,134.7,4.3,80,,26.2,46,6400000,0.923,0.885,0.935,236,119,2.42,0.921,18,166,82,4746,2.46,0.922,0.926,0.903,12,9772.06,62,26,28,8,2021,1853,168,2.71,0.917,4,157.2
5,Devan Dubnyk,MIN,78.1,,4.5,100,121.8,5.3,82,,33.4,26,4333333,0.915,0.901,0.933,490,235,2.54,0.916,31,188,106,5039,2.40,0.918,0.923,0.886,12,11247.98,64,32,23,9,1933,1771,162,2.53,0.916,4,154.8
6,Carey Price,MTL,41.2,+,17.5,100,48.7,12.2,97,,32.1,20,10500000,0.920,0.893,0.948,624,321,2.47,0.918,44,174,88,4786,2.53,0.915,0.922,0.871,8,10617.05,60,27,25,8,1875,1721,154,2.56,0.918,4,153.2
7,Connor Hellebuyck,WPG,71.5,+,3.1,100,179.2,0.5,72,,26.4,33,6166666,0.920,0.873,0.919,212,117,2.65,0.915,14,179,104,5190,2.65,0.915,0.922,0.880,12,10881.91,63,29,25,9,2048,1872,176,2.79,0.914,3,148.0
8,Philipp Grubauer,COL,75.5,,7.4,100,182.8,1.0,66,,27.9,38,3333333,0.926,0.866,0.939,138,61,2.39,0.921,9,80,46,2404,2.35,0.921,0.931,0.872,9,5235.93,52,26,19,7,1683,1548,135,2.59,0.920,3,146.0
9,Matt Murray,PIT,65.3,+,5.4,100,189.1,0.7,69,,25.4,34,3750000,0.930,0.856,0.854,161,97,2.62,0.917,10,142,88,4094,2.63,0.916,0.925,0.868,9,8518.65,57,29,20,8,1849,1694,155,2.71,0.916,3,145.5
10,Antti Raanta,ARI,108.0,,4.4,100,161.0,1.4,69,,30.4,29,4250000,0.923,0.889,0.545,153,73,2.34,0.920,11,84,42,2330,2.30,0.924,0.934,0.877,7,4985.28,50,24,19,7,1592,1466,126,2.52,0.921,3,141.5
11,Marc-Andre Fleury,VGK,22.8,,39.1,100,60.1,11.3,98,,34.9,33,7000000,0.917,0.883,0.957,798,439,2.56,0.913,56,141,82,3943,2.51,0.917,0.921,0.883,13,8574.35,60,32,20,8,1758,1609,149,2.48,0.915,4,140.2
12,Pekka Rinne,NSH,38.9,+,23.0,100,52.0,12.3,98,,36.9,20,5000000,0.928,0.861,0.893,623,341,2.38,0.918,55,175,103,4770,2.35,0.921,0.931,0.866,15,10434.02,52,28,17,7,1603,1472,131,2.52,0.918,4,138.0
13,Braden Holtby,WSH,54.8,+,8.4,100,170.8,0.6,78,,30.1,42,6100000,0.922,0.827,0.950,420,257,2.47,0.918,35,175,108,4693,2.56,0.914,0.924,0.851,12,10323.78,60,28,24,8,1861,1701,160,2.66,0.914,4,137.2
14,Ben Bishop,DAL,13.0,,50.8,100,28.6,17.8,98,,32.9,33,4916666,0.938,0.897,1.000,369,201,2.30,0.921,31,133,71,3499,2.29,0.921,0.926,0.884,13,7875.86,50,26,17,7,1535,1411,124,2.48,0.919,4,134.8
