LWLRANK,PLAYER,TEAM,NHLPOS,YPOS,ADP,ADPM,AUC,OWN,EPOS,EADP,EAUC,EOWN,INJ,DAY1AGE,ONG,AAV,CSHPCT,LYSHPCT,PDO,CIPP,LIPP,AEVTOI,APKTOI,APPTOI,ATOI,SHFG,CGP,CG,CA,CPTS,CSOG,3YGP,3YG,3YA,3YPTS,3YH,3YBS,3YFOW,3YSHG,3YSHA,P_G,P_A,P_PTS,P_SOG,P_H,P_BS,P_FOW,P_FOL,P_FOT,P_PIM,P_PPG,P_PPA,P_PPP,P_GWG,P_ATOI,P_PM,TFSI
1,Nikita Kucherov,TBL,R,RW,2,,62.1,100,RW,1.4,43.9,99,,26.3,25,9500000,14.8,16.7,1026,75,84,16.1943,0.0433,3.7278,19.9654,21.5243,447,34,50,85,234,79,42,67,109,36,23,1,0,0,37,72,109,246,43,30,0,0,0,51,14,26,40,6,19.8943,--,284.25
2,Connor McDavid,EDM,C,C,1.5,,61.8,100,C,2.7,49.6,99,WATCH,22.8,42,12500000,14.7,17.1,1008,82,82,18.79,0.6256,3.4216,22.8372,25.6153,287,37,70,106,249,81,38,72,110,34,36,390,1,2,42,72,114,259,40,38,452,518,970,26,6,21,27,7,22.1783,,278
3,Brad Marchand,BOS,L,LW,8.4,,55.8,100,LW,8.9,28.2,99,,31.4,26,6125000,15.8,15.6,1016,77,78,14.8905,1.5692,3.1639,19.6236,23.0506,681,32,36,67,200,76,39,58,98,48,29,39,3,3,35,57,92,230,48,26,64,85,149,81,10,20,30,6,19.6663,,246.75
4,Mikko Rantanen,COL,R,RW,20.2,,43.4,100,RW,10.4,25.5,99,WATCH,23,38,,15.6,16.1,1010,68,74,16.7309,0.0205,4.0905,20.8419,23.027,239,27,44,72,176,77,29,46,75,43,41,38,0,0,36,58,94,212,57,46,36,61,97,47,11,16,27,6,19.8599,,244.25
5,David Pastrnak,BOS,R,RW,12.4,,51.6,100,"RW,LW",5.3,35.1,99,,23.4,26,6666666,14,16.2,1011,79,78,15.3455,0.0402,3.3682,18.7538,21.1363,320,34,39,73,242,74,39,46,85,68,32,3,0,0,42,51,93,283,65,34,20,40,60,39,15,16,31,7,18.3172,,242.25
6,Nathan MacKinnon,COL,C,C,3.5,,60,100,C,2.8,40.1,99,,24.1,38,6300000,9.8,11.2,1016,73,71,17.8943,0.1065,4.0906,22.0915,24.6829,456,28,44,72,284,79,33,53,86,51,29,610,1,0,35,57,92,340,52,32,514,662,1176,45,9,20,29,6,21.0544,,238.25
7,Steven Stamkos,TBL,C,C,15,,42.7,100,C,10.8,29.4,99,,29.7,25,8500000,16.9,19.2,1009,77,82,14.0813,0.5892,3.6297,18.3002,21.817,746,43,41,84,255,59,38,57,95,71,36,499,1,0,36,47,83,229,68,42,504,445,949,52,17,20,37,6,18.5314,,232.5
8,Johnny Gaudreau,CGY,L,LW,19.1,,42.9,100,LW,19.5,20.8,99,,26.2,28,6750000,12.8,14.7,1011,80,83,16.6892,0.0496,3.3354,20.0742,23.4512,394,28,53,81,216,78,27,58,86,13,15,1,0,0,35,60,95,258,19,18,20,40,60,28,5,19,24,6,19.753,,231.5
9,Evgeni Malkin,PIT,C,C,33.1,,33.1,100,C,33.7,15.1,99,,33.2,34,9500000,13.6,11.2,999,79,91,15.3554,0.038,3.4105,18.8039,22.8529,852,38,59,96,277,69,38,58,95,56,35,475,0,0,32,47,79,230,61,41,459,546,1005,90,13,21,34,5,18.9033,,229.75
10,Auston Matthews,TOR,C,C,9.7,,53.9,100,C,33.1,19.4,99,,22.1,27,11634000,15.5,14.7,991,81,86,15.9561,0.0304,2.5684,18.5549,23.397,212,43,36,79,277,71,43,36,79,25,70,534,0,0,44,44,88,290,34,75,570,523,1093,20,10,11,21,7,18.3514,,227.75
